Time,Energy,Searching
1040,350.5477,5
1041,306.4198,5
1042,263.9151,5
1043,219.7954,5
1044,178.3998,5
1045,133.9972,5
1046,94.78384,5
1047,51.59371,5
1048,7.139047,5
1049,-37.60426,5
1050,-79.93922,5
1051,-124.1487,5
1052,-167.6841,5
1053,-208.983,5
1054,-252.9871,5
1055,-293.065,5
1056,-335.2307,5
1057,-376.3177,5
1058,-420.8727,5
1059,-462.8543,5
1060,-505.5513,5
1061,-546.9407,5
1062,-586.9314,5
1063,-632.015,5
1064,-673.3846,5
1065,-711.4909,5
1066,-751.0834,5
1067,-792.5909,5
1068,-836.6167,5
1069,-880.0951,5
1070,-926.2509,5
1071,-973.3436,5
1072,-1021.696,5
1073,-1067.159,5
1074,-1114.256,5
1075,-1159.787,5
1076,-1209.832,5
1077,-1257.783,5
1078,-1305.748,5
1079,646.9031,5
1080,609.894,4
1081,573.1138,4
1082,537.9816,4
1083,501.1991,4
1084,466.7816,4
1085,429.9504,4
1086,393.6173,4
1087,356.6593,4
1088,320.9454,4
1089,283.6671,4
1090,248.283,4
1091,212.7972,4
1092,177.8993,4
1093,139.5359,4
1094,99.99247,4
1095,63.64724,4
1096,16.7414,4
1097,-22.53929,4
1098,-59.10413,4
1099,-98.83301,4
1100,-135.7186,4
1101,-173.8728,4
1102,-212.7101,4
1103,-250.1019,4
1104,-286.5175,4
1105,-322.0618,4
1106,-356.7949,4
1107,-390.9397,4
1108,-426.6009,4
1109,-461.9708,4
1110,-496.4934,4
1111,-532.7867,4
1112,-567.0695,4
1113,-603.0443,4
1114,-637.6634,4
1115,-674.0342,4
1116,-711.1802,4
1117,-743.4699,3
1118,-775.2164,3
1119,-804.924,3
1120,-835.9593,3
1121,1138.793,3
1122,1114.614,3
1123,1090.249,3
1124,1066.646,3
1125,1043.331,3
1126,1018.19,3
1127,995.0309,3
1128,973.7316,3
1129,950.4565,3
1130,926.6666,3
1131,901.4089,3
1132,877.9543,3
1133,852.4072,3
1134,828.9675,3
1135,804.5712,3
1136,783.182,2
1137,764.7958,2
1138,745.8726,2
1139,727.6324,2
1140,708.577,2
1141,689.8865,2
1142,670.3049,2
1143,651.3731,2
1144,631.7075,2
1145,612.7419,2
1146,594.3135,2
1147,576.1625,2
1148,558.0288,2
1149,539.6667,2
1150,521.1595,2
1151,501.9581,2
1152,483.9185,2
1153,464.7424,2
1154,442.6492,2
1155,423.2854,2
1156,404.679,2
1157,385.9181,2
1158,366.7985,2
1159,348.1671,2
1160,329.8994,2
1161,315.2965,1
1162,302.1701,1
1163,287.9959,1
1164,274.6418,1
1165,260.966,1
1166,247.9015,1
1167,234.4516,1
1168,220.3233,1
1169,207.0866,1
1170,192.3996,1
1171,178.4699,1
1172,164.8876,1
1173,150.7956,1
1174,137.5527,1
1175,123.6898,1
1176,110.5843,1
1177,96.73617,1
1178,83.37777,1
1179,69.46466,1
1180,55.81713,1
1181,41.48476,1
1182,27.9892,1
1183,13.94998,1
1184,-0.2815104,1
1185,-13.65448,1
1186,-26.82335,1
1187,-40.05201,1
1188,-53.54082,1
1189,-67.07369,1
1190,-80.10593,1
1191,-93.71004,1
1192,-106.8125,1
1193,-120.1303,1
1194,-134.1167,1
1195,-147.7123,1
1196,-161.8351,1
1197,-174.705,1
1198,-186.5027,1
1199,-199.2232,1
1200,-213.1024,1
1201,-226.1214,1
1202,-239.9692,1
1203,-253.3784,1
1204,-267.3333,1
1205,-280.5557,1
1206,-294.4242,1
1207,-307.442,1
1208,-321.3935,1
1209,-334.6006,1
1210,-349.4754,1
1211,-362.7704,1
1212,-376.1659,1
1213,-389.2675,1
1214,-402.7886,1
1215,-416.6805,1
1216,-430.4861,1
1217,-444.7948,1
1218,-457.944,1
1219,-472.1534,1
1220,-485.6033,1
1221,-499.1202,1
1222,-512.5808,1
1223,-526.5006,1
1224,-539.5559,1
1225,-553.3161,1
1226,-569.3163,2
1227,-587.394,2
1228,-605.9269,2
1229,-625.3664,2
1230,-644.0217,2
1231,-664.0137,2
1232,-683.0054,2
1233,-701.5733,2
1234,-721.0543,2
1235,-740.2771,2
1236,-760.9507,2
1237,-782.103,2
1238,-803.3692,2
1239,-823.5768,2
1240,-845.144,2
1241,-868.1266,2
1242,-894.6674,2
1243,-919.2808,2
1244,-945.4214,2
1245,-979.5535,2
1246,-1006.194,2
1247,-1032.214,2
1248,946.8139,1
1249,928.7784,1
1250,910.2595,1
1251,892.6082,1
1252,875.5575,1
1253,857.8953,1
1254,839.569,1
1255,821.2787,1
1256,798.9023,2
1257,775.9476,2
1258,751.6581,2
1259,726.8241,2
1260,703.5242,2
1261,681.2509,2
1262,657.6841,2
1263,635.5203,2
1264,612.7925,2
1265,590.0002,2
1266,564.4618,2
1267,536.6464,3
1268,506.3351,3
1269,475.0656,4
1270,437.8891,4
1271,402.8541,4
1272,366.7236,4
1273,332.5928,4
1274,296.5677,4
1275,2252.34,4
1276,2222.267,4
1277,2191.104,4
1278,2158.505,4
1279,2123.828,4
1280,2090.691,4
1281,2058.474,4
1282,2024.56,4
1283,1989.912,4
1284,1953.919,4
1285,1918.279,4
1286,1882.392,4
1287,1847.583,4
1288,1811.398,4
1289,1774.279,4
1290,1739.819,4
1291,1704.829,4
1292,1669.221,4
1293,1635.199,4
1294,1599.617,4
1295,1562.526,4
1296,1526.594,4
1297,1490.776,4
1298,1458.58,4
1299,1425.816,4
1300,1390.395,4
1301,1354.767,4
1302,1320.46,4
1303,1274.657,5
1304,1234.535,5
1305,1193.594,5
1306,1151.218,5
1307,1109.475,5
1308,1069.957,5
1309,1028.751,5
1310,987.8397,5
1311,946.7558,5
1312,904.5442,5
1313,862.1617,5
1314,816.5355,5
1315,774.4006,5
1316,730.8373,5
1317,688.3314,5
1318,645.6238,5
1319,604.9438,5
1320,563.4778,5
1321,520.9575,5
1322,478.3876,5
1323,437.3192,5
1324,394.2762,5
1325,352.0982,5
1326,312.4829,5
1327,275.3534,5
1328,232.6495,5
1329,189.0951,6
1330,140.1999,6
1331,91.78812,6
1332,37.43977,6
1333,-8.900894,6
1334,-55.62171,6
1335,-104.1172,6
1336,-150.6766,6
1337,-200.6858,6
1338,-250.4473,6
1339,-302.6942,6
1340,-349.2521,6
1341,-396.8711,6
1342,-449.0403,6
1343,-498.2615,6
1344,-548.5986,6
1345,-598.3491,6
1346,-650.611,6
1347,-703.7124,6
1348,-759.2932,6
1349,-813.6909,6
1350,-867.2988,6
1351,-923.215,6
1352,-976.3636,6
1353,-1030.883,6
1354,-1090.266,6
1355,-1152.102,6
1356,-1211.904,6
1357,-1271.486,6
1358,-1327.582,6
1359,-1386.411,6
1360,-1442.949,6
1361,490.7546,6
1362,449.5137,5
1363,410.2433,5
1364,361.8165,5
1365,314.0657,5
